rank;title;Previous Rank;Revenues ($M);Revenue Change(%);Profits ($M);Profit Change(%);Assets ($M);Mkt Value as of 3/29/18 ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
886;New Jersey Resources;970;2269;20,6;132,1;0,3;3929;3513;1052;Laurence M. Downes;Chairman, President &  Chief Executive Officer;Energy;Energy;0;Wall Township;NJ;40.1606666;-74.0679753
887;REV Group;957;2268;17,7;31,4;3,9;1254;1341;78;Timothy W. Sullivan;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;0;Milwaukee;WI;43.0389025;-87.9064736
888;Mueller Industries;919;2266;10,2;85,6;-14,2;132;1505;4125;Gregory L. Christopher;Chairman &  Chief Executive Officer;Industrials;Industrial Machinery;0;Memphis;TN;35.1495343;-90.0489801
889;GEO Group;895;2263;3,9;146,2;-1,7;4227;2531;18512;George C. Zoley;Chairman &  Chief Executive Officer;Business Services;Miscellaneous;0;Boca Raton;FL;26.3683064;-80.1289321
890;Allison Transmission Holdings;984;2262;22,9;504;134,5;4205;5404;27;David S. Graziosi;Chairman &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;0;Indianapolis;IN;39.768403;-86.158068
891;OGE Energy;876;2261;0,1;619;83;10413;6544;2413;Sean R. Trauschke;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;0;Oklahoma City;OK;35.4675602;-97.5164276
892;Cheesecake Factory;867;2261;-0,7;157,4;12,8;1333;2213;391;David M. Overton;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Food Services;0;Calabasas;CA;34.1372953;-118.6541895
893;PRA Health Sciences;;2259;24,7;86,9;27,5;3358;5292;158;Colin Shannon;Chairman, President &  Chief Executive Officer;Technology;Scientific,Photographic and  Control Equipment;0;Raleigh;NC;35.7795897;-78.6381787
894;Tupperware Brands;886;2255,8;1,9;-265,4;-218,7;1388;2473;12000;Patricia A. Stitzel;President, Chief Executive Officer &  Director;Household Products;Household and Personal Products;0;Orlando;FL;28.5383355;-81.3792365
895;Euronet Worldwide;950;2252;15;156,8;-10,1;314;4058;66;Michael J. Brown;Chairman, President &  Chief Executive Officer;Business Services;Financial Data Services;0;Leawood;KS;38.966673;-94.6169012
896;FLEETCOR Technologies;988;225;22,8;740,2;63,6;11318;18186;789;Ronald F. Clarke;Chairman &  Chief Executive Officer;Business Services;Financial Data Services;0;Norcross;GA;33.969864;-84.2212938
897;Nationstar Mortgage Holdings;852;2247;-4;30;57,9;18036;1755;76;Jay Bray;Chairman, President &  Chief Executive Officer;Financials;Diversified Financials;0;Coppell;TX;32.9545687;-97.0150078
898;GoDaddy;980;2232;20,8;136,4;0;5738;10315;599;Scott W. Wagner;Chief Executive Officer;Technology;Internet Services and Retailing;0;Scottsdale;AZ;33.4941704;-111.9260519
899;Blackhawk Network Holdings;966;2232;17,5;-155,8;-3444,1;414;2529;319;Talbott Roche;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;0;Pleasanton;CA;37.6624312;-121.8746789
900;Cboe Global Markets;;2229;217;401,7;115;5266;1286;889;Edward T. Tilly;Chairman &  Chief Executive Officer;Financials;Securities;0;Chicago;IL;41.8781136;-87.6297982
901;Snyders-Lance;862;2227;-3,8;148,5;897,6;3618;0;59;Carlos Abrams-Rivera;President-Campbell Snacks;Food, Beverages &  Tobacco;Food Consumer Products;0;Charlotte;NC;35.2270869;-80.8431267
902;Murphy Oil;972;2226;18,8;-311,8;0;9861;4471;1128;Roger W. Jenkins;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;0;El Dorado;AR;33.20763;-92.6662674
903;CDK Global;905;222;5;295,6;23,5;2883;8523;89;Brian P. MacDonald;President, Chief Executive Officer &  Director;Technology;Computer Software;0;Hoffman Estates;IL;42.0629915;-88.1227199
904;Texas Roadhouse;942;222;11,5;131,5;13,8;1331;4123;29524;W. Kent Taylor;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Food Services;0;Louisville;KY;38.2526647;-85.7584557
905;Kirby;;2214;25,1;313,2;121,5;5127;4592;5775;David W. Grzebinski;President, Chief Executive Officer &  Director;Transportation;Shipping;0;Houston;TX;29.7604267;-95.3698028
906;Square;;2214;29,6;-62,8;0;2187;19501;2338;Jack Dorsey;Chairman, President &  Chief Executive Officer;Business Services;Financial Data Services;0;SF;CA;37.7749295;-122.4194155
907;Genesee & Wyoming;937;2208;10,3;549,1;289;8035;4435;8;John C. Hellmann;Chairman, President &  Chief Executive Officer;Transportation;Railroads;0;Darien;CT;41.0771914;-73.4686858
908;Zayo Group Holdings;;22;27,8;85,7;0;8739;8474;3794;Daniel P. Caruso;Chairman &  Chief Executive Officer;Telecommunications;Telecommunications;0;Boulder;CO;40.0149856;-105.2705456
909;NewMarket;921;2198;7,3;190,5;-21,7;1712;4731;2223;Thomas E. Gottwald;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;0;Richmond;VA;37.5407246;-77.4360481
910;99 Cents Only Stores;929;2194;6,4;-90,3;0;1537;0;172;Jack L. Sinclair;Chief Executive Officer;Retailing;Specialty Retailers: Other;0;Commerce;CA;34.0005691;-118.1597929
911;PCM;877;2193;-2,5;3,1;-82,4;740;98;4118;Frank F. Khulusi;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Electronics and Office Equipment;0;El Segundo;CA;33.9191799;-118.4164652
912;Federated Mutual Insurance;918;2181;5,8;217,6;-4,9;763;0;2388;Jeffrey E. Fetters;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);0;Owatonna;MN;44.0855572;-93.2259349
913;HNI;890;2176;-1,3;89,8;4,9;1392;1568;935;Stanley A. Askren;Chairman, President &  Chief Executive Officer;Household Products;Home Equipment, Furnishings;0;Muscatine;IA;41.424473;-91.0432051
914;Hospitality Properties Trust;922;2172;6,1;215,1;-3,6;715;4165;450;John G. Murray;President, Chief Executive Officer &  Director;Financials;Real estate;0;Newton;MA;42.3370413;-71.2092214
915;Greenbrier Cos.;777;2169;-19;116,1;-36,6;2398;1442;11917;William A. Furman;Chairman, President &  Chief Executive Officer;Transportation;Transportation Equipment;0;Lake Oswego;OR;45.4156817;-122.7159726
916;Bio-Rad Laboratories;917;216;4,4;122,2;370,2;4273;7443;815;Norman A. Schwartz;Chairman, President &  Chief Executive Officer;Health Care;Scientific,Photographic and  Control Equipment;0;Hercules;CA;38.0171441;-122.2885808
917;AvalonBay Communities;923;2159;5,5;876,9;-15,2;18415;22711;3123;Timothy J. Naughton;Chairman, President &  Chief Executive Officer;Financials;Real estate;0;Arlington;VA;38.8816208;-77.0909809
918;Renewable Energy Group;924;2158;5,7;-79,1;-278,4;10056;497;853;Randolph L. Howard;President, Chief Executive Officer &  Director;Energy;Energy;0;Ames;IA;42.0307812;-93.6319131
919;Atlas Air Worldwide Holdings;985;2157;17,2;223,5;438,3;4956;1538;287;William J. Flynn;President, Chief Executive Officer &  Director;Transportation;Transportation and Logistics;0;Harrison;NY;41.0400135;-73.7144477
920;Teradata;859;2156;-7,1;-67;-153,6;2556;4797;10615;Victor L. Lund;President, Chief Executive Officer &  Director;Technology;Information Technology Services;0;Dayton;OH;39.7589478;-84.1916069
921;LCI Industries;;2148;27,9;132,9;2,5;946;2603;9852;Jason D. Lippert;Chairman &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;0;Elkhart;IN;41.6819935;-85.9766671
922;Teleflex;973;2146;14,9;152,5;-35,7;6182;11806;144;Liam J. Kelly;President, Chief Executive Officer &  Director;Health Care;Medical Products and Equipment;0;Wayne;PA;40.0415996;-75.3698895
923;Verisk Analytics;909;2145;1,8;555,1;-6,1;602;17162;7192;Scott G. Stephenson;Chairman, President &  Chief Executive Officer;Business Services;Financial Data Services;0;Jersey City;NJ;40.7281575;-74.0776417
924;Popular;955;2145;11;107,7;-50,3;44277;4253;7784;Ignacio Alvarez;President, Chief Executive Officer &  Director;Financials;Commercial Banks;0;Hato Rey;Puerto Rico;18.4225782;-66.0509549
925;Workday;;2143;36,6;-321,2;0;4947;26947;82;Aneel Bhusri;Chief Executive Officer &  Director;Technology;Computer Software;0;Pleasanton;CA;37.6624312;-121.8746789
926;Cooper Cos.;948;2139;8,8;372,9;36,1;4859;11217;118;Albert G. White III;President, Chief Executive Officer &  Director;Health Care;Medical Products and Equipment;0;Pleasanton;CA;37.6624312;-121.8746789
927;Express;893;2138;-2,5;19,4;-66,3;1188;564;9576;David G. Kornberg;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Apparel;0;Columbus;OH;39.9611755;-82.9987942
928;Teradyne;;2137;21,9;257,7;0;311;8901;45;Mark E. Jagiela;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;North Reading;MA;42.5750939;-71.0786653
929;Werner Enterprises;934;2117;5,4;202,9;156,4;1808;2645;12154;Derek J. Leathers;President, Chief Executive Officer &  Director;Transportation;Trucking, Truck Leasing;0;Omaha;NE;41.2565369;-95.9345034
930;Oaktree Capital Group;;21;38,3;231,5;18,9;9015;6188;930;Jay S. Wintrob;Chairman &  Chief Executive Officer;Financials;Securities;0;Los Angeles;CA;34.0522342;-118.2436849
931;Woodward;931;2099;3,7;200,5;10,9;2757;4391;6829;Thomas A. Gendron;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;0;Fort Collins;CO;40.5852602;-105.084423
932;F5 Networks;940;209;4,8;420,8;15;2481;8943;4366;Fran?ois Locoh-Donou;President, Chief Executive Officer &  Director;Technology;Network and Other Communications Equipment;0;Seattle;WA;47.6062095;-122.3320708
933;Valvoline;;2084;8;304;11,4;1915;4428;56;Samuel J. Mitchell Jr.;Chairman &  Chief Executive Officer;Chemicals;Chemicals;0;Lexington;KY;38.0405837;-84.5037164
934;Roadrunner Transportation Systems;947;2082;2,4;-106,7;0;863;98;4645;Curtis W. Stoelting;Chief Executive Officer &  Director;Transportation;Trucking, Truck Leasing;0;Downers Grove;IL;41.8089191;-88.0111746
935;SemGroup;;2082;56,3;-17,2;-918,6;5377;1692;122;Carlin G. Conner;President, Chief Executive Officer &  Director;Energy;Pipelines;0;Tulsa;OK;36.1539816;-95.992775
936;Catalent;979;2075;12,3;109,8;-1,5;3454;5474;108;John R. Chiminski;Chairman, President &  Chief Executive Officer;Health Care;Pharmaceuticals;0;Franklin Township;NJ;40.497604;-74.4884868
937;Quorum Health;;2072;0;-114,2;0;1829;247;1125;Robert H. Fish;President, Chief Executive Officer &  Director;Health Care;Health Care: Medical Facilities;0;Brentwood;TN;36.0331164;-86.7827772
938;Universal;904;2071;-2,3;106,3;-2,5;2123;1215;24;George C. Freeman III;Chairman, President &  Chief Executive Officer;Food, Beverages &  Tobacco;Tobacco;0;Richmond;VA;37.5407246;-77.4360481
939;Nordson;996;2067;14,3;295,8;8,8;3415;7904;7532;Michael F. Hilton;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;0;Westlake;OH;41.4553232;-81.9179173
940;ResMed;986;2067;12,4;342,3;-2,9;3469;14074;608;Michael J. Farrell;Chief Executive Officer &  Director;Health Care;Medical Products and Equipment;0;San Diego;CA;32.715738;-117.1610838
941;Tower International;927;2066;1,6;47,6;23,4;126;570;76;James C. Gouin;Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;0;Livonia;MI;42.36837;-83.3527097
942;Freds;903;2064;-2,9;-140,3;0;655;114;7324;Joseph M. Anto;Interim Chief Executive Officer &  Director;Food &  Drug Stores;Food and Drug Stores;0;Memphis;TN;35.1495343;-90.0489801
943;Foundation Building Materials;;2061;48;82,5;0;1354;639;3782;Ruben D. Mendoza;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;Tustin;CA;33.7420005;-117.8236391
944;Kennametal;912;2058;-1,9;49,1;0;2416;3276;10744;Christopher Rossi;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;0;Pittsburgh;PA;40.4406248;-79.9958864
945;Autodesk;928;2057;1,3;-566,9;0;4114;27418;88;Andrew Anagnost;President, Chief Executive Officer &  Director;Technology;Computer Software;0;San Rafael;CA;37.9735346;-122.5310874
946;Ply Gem Holdings;961;2056;7,6;68,3;-9,5;132;1481;9471;Gary E. Robinette;Chairman, President &  Chief Executive Officer;Materials;Building Materials, Glass;0;Cary;NC;35.79154;-78.7811169
947;Central Garden & Pet;989;2055;12,3;78,8;77,1;1307;2099;405;George C. Roeth;President, Chief Executive Officer &  Director;Household Products;Household and Personal Products;0;Walnut Creek;CA;37.9100783;-122.0651819
948;Matson;954;2047;5,4;232;188,2;2248;1222;1947;Matthew J. Cox;Chairman &  Chief Executive Officer;Transportation;Shipping;0;Honolulu;HI;21.3069444;-157.8583333
949;EchoStar;719;2039;-33,3;392,6;118,2;875;5061;21;Michael T. Dugan;President, Chief Executive Officer &  Director;Technology;Network and Other Communications Equipment;0;Englewood;CO;39.6477653;-104.9877597
950;Genesis Energy;;2028;18,4;82,6;-27;7138;2416;21;Grant E. Sims;Chairman &  Chief Executive Officer;Energy;Pipelines;0;Houston;TX;29.7604267;-95.3698028
951;SVB Financial Group;;2022;22,6;490,5;28,2;51215;12694;2438;Gregory W. Becker;President, Chief Executive Officer &  Director;Financials;Commercial Banks;0;Santa Clara;CA;37.3541079;-121.9552356
952;Itron;933;2018;0,2;57,3;80,4;2106;2799;715;Philip C. Mezey;President, Chief Executive Officer &  Director;Industrials;Electronics, Electrical Equip.;0;Liberty Lake;WA;47.6743428;-117.1124241
953;Portland General Electric;960;2009;4,5;187;-3,1;7838;3614;2906;Maria M. Pope;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;0;Portland;OR;45.5122308;-122.6587185
954;California Resources;;2006;29,7;-266;-195,3;6207;778;145;Todd A. Stevens;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;0;Los Angeles;CA;34.0522342;-118.2436849
955;Esterline Technologies;932;2005;-0,5;111,6;13,9;312;2174;13255;Curtis C. Reusser;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;0;Bellevue;WA;47.6101497;-122.2015159
956;Delta Tucker Holdings;987;2004;9,2;30,6;0;736;0;88;George Krivo;Chairman &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;0;McLean;VA;38.9338676;-77.1772604
957;AMN Healthcare Services;964;1989;4,5;132,6;25,2;1254;2714;298;Susan R. Salka;President, Chief Executive Officer &  Director;Health Care;Health Care: Pharmacy and Other Services;0;San Diego;CA;32.715738;-117.1610838
958;Griffon;951;1986;1,5;14,9;-50,3;1874;866;47;Ronald J. Kramer;Chairman &  Chief Executive Officer;Materials;Building Materials, Glass;0;New York;NY;40.7127753;-74.0059728
959;Valhi;;198;23,3;207,5;0;2908;2055;279;Robert D. Graham;Vice Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;0;Dallas;TX;32.7766642;-96.7969879
960;Hexcel;936;1973;-1,5;284;13,7;2781;5791;6259;Nick L. Stanage;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;0;Stamford;CT;41.0534302;-73.5387341
961;IDEXX Laboratories;;1969;10,9;263,1;18,5;1713;16663;76;Jonathan W. Ayers;Chairman, President &  Chief Executive Officer;Health Care;Medical Products and Equipment;0;Westbrook;ME;43.6770252;-70.3711617
962;Deluxe;978;1966;6,3;230,2;0,3;2209;3539;5886;Lee J. Schram;Chairman &  Chief Executive Officer;Media;Publishing, Printing;0;Shoreview;MN;45.0791325;-93.1471667
963;M/I Homes;-;1962;16;72,1;27,3;1864,8;888;1238;Robert H. Schottenstein;Chairman, President &  Chief Executive Officer;Engineering &  Construction;Homebuilders;0;Columbus;OH;39.9611755;-82.9987942
964;Kraton;;196;12,4;97,5;-9,1;2933;1512;1931;Kevin M. Fogarty;President, Chief Executive Officer &  Director;Chemicals;Chemicals;0;Houston;TX;29.7604267;-95.3698028
965;Stewart Information Services;935;1956;-2,5;48,7;-12,3;1406;1042;596;Matthew W. Morris;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);0;Houston;TX;29.7604267;-95.3698028
966;Marriott Vacations Worldwide;994;1952;7,8;226,8;65,1;2906;3535;11;Stephen P. Weisz;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;0;Orlando;FL;28.5383355;-81.3792365
967;SPX FLOW;939;1952;-2,2;46,4;0;2689;2091;7;Marcus G. Michael;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;0;Charlotte;NC;35.2270869;-80.8431267
968;ACCO Brands;;1949;25,2;131,7;37,9;2799;1353;662;Boris Y. Elisman;Chairman, President &  Chief Executive Officer;Household Products;Home Equipment, Furnishings;0;Lake Zurich;IL;42.1969689;-88.0934108
969;Echo Global Logistics;;1943;13,2;12,6;694,1;838;774;2453;Douglas R. Waggoner;Chairman &  Chief Executive Officer;Transportation;Transportation and Logistics;0;Chicago;IL;41.8781136;-87.6297982
970;Cadence Design Systems;992;1943;7;204,1;0,5;2419;10415;7214;Lip-Bu Tan;Chairman &  Chief Executive Officer;Technology;Computer Software;0;San Jose;CA;37.3382082;-121.8863286
971;Nuance Communications;953;1939;-0,5;-151;0;5932;4626;116;Mark D. Benjamin;Chairman &  Chief Executive Officer;Technology;Computer Software;0;Burlington;MA;42.5047161;-71.1956205
972;Finish Line;968;1934;2,4;-18,2;-183,2;747;559;82;Samuel M. Sato;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;0;Indianapolis;IN;39.768403;-86.158068
973;TransUnion;;1934;13,4;441,2;265,8;5119;10441;51;James M. Peck;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;0;Chicago;IL;41.8781136;-87.6297982
974;ServiceNow;;1933;39;-149,1;0;3398;28904;6222;John J. Donahoe;President, Chief Executive Officer &  Director;Technology;Computer Software;0;Santa Clara;CA;37.3541079;-121.9552356
975;Summit Materials;;1933;18,8;121,8;231,2;3787;3342;6;Thomas W. Hill;President, Chief Executive Officer &  Director;Materials;Building Materials, Glass;0;Denver;CO;39.7392358;-104.990251
976;Engility Holdings;915;1932;-7;-35,2;0;2026;899;87;Lynn A. Dugle;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;0;Chantilly;VA;38.8942786;-77.4310992
977;Ferrellgas Partners;926;193;-5,3;-54,2;0;161;303;3891;James E. Ferrell;Chairman &  Interim Chief Executive Officer;Energy;Energy;0;Overland Park;KS;38.9822282;-94.6707917
978;Interactive Brokers Group;;1927;30,6;76;-9,5;61162;4806;1228;Thomas P. Peterffy;Chairman &  Chief Executive Officer;Financials;Securities;0;Greenwich;CT;41.0262417;-73.6281964
979;Stepan;;1925;9;91,6;6,3;1471;1875;2096;F. Quinn Stepan Jr.;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;0;Northfield;IL;42.09975;-87.7808967
980;Oceaneering International;871;1922;-15,4;166,4;576,8;3024;1827;82;Roderick A. Larson;President, Chief Executive Officer &  Director;Energy;Oil and Gas Equipment, Services;0;Houston;TX;29.7604267;-95.3698028
981;Cimarex Energy;;1918;52,6;494,3;0;5043;8924;910;Thomas E. Jorden;Chairman, President &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;0;Denver;CO;39.7392358;-104.990251
